country,channel,impressions,clicks,cost,installs,visits,purchases,revenue
A,APP-Acquisition-Android,14472269,74022,"13,583","12,094",,15226,1839.97
A,APP-Acquisition-Android,3057156,27797,"4,967","5,403",,4370,763.91
A,APP-Acquisition-iOS,537135,8066,"4,019","2,394",,1929,749.46
A,APP-Acquisition-iOS,518521,7326,"3,243","2,100",,1194,452.83
A,Web-Retargeting,1851036,8101,1065.45,,7056,927,782.33
A,Web-Retargeting,6603,925,175.07,,75,30,20.33
A,Web-Retargeting,255839,389,132.74,,388,50,43.1
A,Web-Retargeting,4575,621,80.72,,75,44,33.37
A,Web-Retargeting,165811,477,62.62,,540,101,74.18
A,Web-Retargeting,92871,1332,57.16,,665,116,81.54
A,Web-Retargeting,142834,282,51.92,,191,39,26.88
A,Web-Retargeting,90764,1029,42.02,,557,69,26.64
A,Web-Retargeting,2846,450,26.82,,28,9,3.25
A,Web-Retargeting,17618,223,9.88,,281,16,6.97
A,Web-Retargeting,22131,55,8.74,,38,6,3.09
A,Web-Retargeting,475,392,3.92,,2,0,
A,Web-Retargeting,8447,102,3.63,,52,1,1.04
A,Web-Retargeting,3378,41,1.21,,20,3,1.81
A,Web-Retargeting,159,42,0.71,,1,0,
A,Web-Acquisition,189688,421,257.99,,234,75,55.51
A,Web-Acquisition,246484,1696,256.03,,931,349,201.45
A,Web-Acquisition,261810,3668,130.36,,1229,8,5.97
A,Web-Acquisition,11568,7151,128.4,,30,12,3.67
A,Web-Acquisition,119666,516,125.79,,274,291,104.3
A,Web-Acquisition,21674,5049,111.11,,30,11,6.12
A,Web-Acquisition,252701,3174,108.71,,1988,17,4.42
A,Web-Acquisition,41244,52,88.26,,38,16,12.18
A,Web-Acquisition,10211,1678,75.74,,29,11,9.93
A,Web-Acquisition,5865,1213,49.09,,9,1,0.41
A,Web-Acquisition,5903,2498,45.43,,28,0,0.63
A,Web-Acquisition,3219,596,40.8,,18,3,2.34
A,Web-Acquisition,558,132,2.93,,3,0,4.27
A,Web-Acquisition,55480,72,0,,21,0,
A,Web-Acquisition,729828,1011,0,,340,0,0.21
A,Web-Acquisition,751064,760,0,,352,0,
A,Web-Acquisition,731208,926,0,,488,3,1.69
A,Web-Acquisition,1,0,0,,1,0,
A,SEM-Brand,114441,41525,8144.17,,49265,28699,26087.73
A,SEM-Brand,137338,35271,6334.63,,40414,14991,4850.97
A,SEM-Brand,13261,3453,390.87,,4341,1301,487.15
A,SEM-Brand,3697,1455,163.55,,2251,1375,1144.75
A,SEM-Flights,488118,13754,5239.14,,13060,2004,1693.16
A,SEM-Flights,396357,12885,4791.59,,12276,1794,1587.95
A,SEM-Flights,719190,10222,4325.78,,10790,2136,1833.14
A,SEM-Flights,446010,4154,2105.85,,4638,906,722.18
A,SEM-Flights,336734,2848,1498.37,,3188,557,492.2
A,SEM-Flights,145888,2184,1362.06,,2411,561,497.03
A,SEM-Flights,83607,2066,1131.85,,2067,705,606.13
A,SEM-Flights,6621,1593,1096.2,,1836,888,777.49
A,SEM-Flights,532532,2627,1040.9,,2821,604,529.57
A,SEM-Flights,3498,1302,965.47,,1600,591,499.62
A,SEM-Flights,715825,1564,910.84,,1757,404,345.73
A,SEM-Flights,41252,5345,883.62,,4660,770,403.28
A,SEM-Flights,72922,1593,843.39,,1680,392,353.09
A,SEM-Flights,3219,1166,818.75,,1382,484,384.52
A,SEM-Flights,13373,1230,769.33,,1163,438,321.78
A,SEM-Flights,58564,1984,740.15,,2134,402,335.35
A,SEM-Flights,49939,1432,716.75,,1559,406,368.24
A,SEM-Flights,8405,672,607.21,,684,241,184.24
A,SEM-Flights,43092,1100,603.29,,1098,332,276.32
A,SEM-Flights,6516,788,563.94,,780,190,168.28
A,SEM-Flights,6008,665,466.03,,725,217,176.4
A,SEM-Flights,23266,3630,465.79,,4273,1138,404.93
A,SEM-Flights,3923,624,459.03,,660,221,203.85
A,SEM-Flights,4750,651,393.76,,574,145,125.45
A,SEM-Flights,2823,477,315.21,,437,102,98.27
A,SEM-Flights,2820,444,312.71,,439,140,120.79
A,SEM-Flights,11110,1984,296.04,,2384,673,220.77
A,SEM-Flights,106879,4266,274.81,,4126,676,200.56
A,SEM-Flights,11168,2051,272.08,,2357,757,265.51
A,SEM-Flights,2650,442,227.59,,410,111,106.1
A,SEM-Flights,66967,3141,185.64,,2878,364,131.39
A,SEM-Flights,768,128,174.44,,142,28,22.27
A,SEM-Flights,76308,3340,173.35,,3205,403,172.36
A,SEM-Flights,22903,2387,162.62,,2220,348,200.19
A,SEM-Flights,12160,1890,151.21,,1820,359,146.95
A,SEM-Flights,10483,1754,137.12,,1537,266,121.68
A,SEM-Flights,15605,2078,136.12,,1930,411,157.63
A,SEM-Flights,12033,1595,110.17,,1413,217,105.1
A,SEM-Flights,726,148,105.31,,161,44,34.47
A,SEM-Flights,14208,1540,102.99,,1395,241,113.79
